AÑO,CATEGORIAS,ANALISIS,CANALES DE VENTA,CANTIDAD
2001,Hortalizas frescas,Valor (miles de euros),Economato/Coop.,5159.029999999999
2001,Frutas frescas,Valor (miles de euros),Economato/Coop.,8752.88
2001,Frutos secos,Valor (miles de euros),Economato/Coop.,2161.49
2001,Frutas y hortalizas transformadas,Valor (miles de euros),Economato/Coop.,4092.2
2001,Platos preparados,Valor (miles de euros),Economato/Coop.,2924.1400000000003
2001,Cafes e infusiones,Valor (miles de euros),Economato/Coop.,3163.26
2001,Caldos,Valor (miles de euros),Economato/Coop.,621.96
2001,Salsas,Valor (miles de euros),Economato/Coop.,837.3100000000001
2001,Gaseosas y bebidas refrescantes,Valor (miles de euros),Economato/Coop.,4996.06
2001,Otros productos en peso,Valor (miles de euros),Economato/Coop.,1776.88
2001,Otros productos en volumen,Valor (miles de euros),Economato/Coop.,289.02
2001,Miel,Volumen (miles de kg o litros),Economato/Coop.,60.86
2001,Carne,Volumen (miles de kg o litros),Economato/Coop.,10716.39
2001,Pescados y mariscos,Volumen (miles de kg o litros),Economato/Coop.,3172.3799999999997
2001,Leche líquida,Volumen (miles de kg o litros),Economato/Coop.,24855.710000000003
2001,Otras leches,Volumen (miles de kg o litros),Economato/Coop.,173.36
2001,Derivados lacteos,Volumen (miles de kg o litros),Economato/Coop.,5676.02
2001,Pan,Volumen (miles de kg o litros),Economato/Coop.,8727.739999999998
2001,"Bolleria, pastelería, galletas y cereales",Volumen (miles de kg o litros),Economato/Coop.,2219.5899999999997
2001,Productos navideños,Volumen (miles de kg o litros),Economato/Coop.,284.52
2001,Chocolates,Volumen (miles de kg o litros),Economato/Coop.,874.38
2001,Arroz,Volumen (miles de kg o litros),Economato/Coop.,1421.9
2001,Pastas,Volumen (miles de kg o litros),Economato/Coop.,1081.4
2001,Azucar,Volumen (miles de kg o litros),Economato/Coop.,1603.6999999999998
2001,Edulcorante,Volumen (miles de kg o litros),Economato/Coop.,16.970000000000002
2001,Legumbres,Volumen (miles de kg o litros),Economato/Coop.,961.1399999999999
2001,Aceites,Volumen (miles de kg o litros),Economato/Coop.,12444.990000000002
2001,Margarinas,Volumen (miles de kg o litros),Economato/Coop.,285.06
2001,Aceitunas,Volumen (miles de kg o litros),Economato/Coop.,462.14
2001,Vinos,Volumen (miles de kg o litros),Economato/Coop.,14544.52
2001,Cervezas,Volumen (miles de kg o litros),Economato/Coop.,1883.6699999999998
2001,Patatas,Volumen (miles de kg o litros),Economato/Coop.,6255.4800000000005
2001,Hortalizas frescas,Volumen (miles de kg o litros),Economato/Coop.,4368.07
2001,Frutas frescas,Volumen (miles de kg o litros),Economato/Coop.,9451.089999999998
2001,Frutos secos,Volumen (miles de kg o litros),Economato/Coop.,404.48999999999995
2001,Frutas y hortalizas transformadas,Volumen (miles de kg o litros),Economato/Coop.,2731.57
2001,Platos preparados,Volumen (miles de kg o litros),Economato/Coop.,1000.2800000000001
2001,Cafes e infusiones,Volumen (miles de kg o litros),Economato/Coop.,482.50000000000006
2001,Caldos,Volumen (miles de kg o litros),Economato/Coop.,71.78
2001,Salsas,Volumen (miles de kg o litros),Economato/Coop.,336.41999999999996
2001,Gaseosas y bebidas refrescantes,Volumen (miles de kg o litros),Economato/Coop.,8956.509999999998
2001,Otros productos en peso,Volumen (miles de kg o litros),Economato/Coop.,1707.27
2001,Otros productos en volumen,Volumen (miles de kg o litros),Economato/Coop.,262.67
2002,Miel,Valor (miles de euros),Economato/Coop.,1156.55
2002,Carne,Valor (miles de euros),Economato/Coop.,59501.44
2002,Pescados y mariscos,Valor (miles de euros),Economato/Coop.,22176.29
2002,Leche líquida,Valor (miles de euros),Economato/Coop.,13327.98
2002,Otras leches,Valor (miles de euros),Economato/Coop.,516.03
2002,Derivados lacteos,Valor (miles de euros),Economato/Coop.,21363.54
2002,Pan,Valor (miles de euros),Economato/Coop.,16777.22
2002,"Bolleria, pastelería, galletas y cereales",Valor (miles de euros),Economato/Coop.,8082.22
2002,Productos navideños,Valor (miles de euros),Economato/Coop.,1598.58
2002,Chocolates,Valor (miles de euros),Economato/Coop.,3529.64
2002,Arroz,Valor (miles de euros),Economato/Coop.,1212.56
2002,Pastas,Valor (miles de euros),Economato/Coop.,1326.2
2002,Azucar,Valor (miles de euros),Economato/Coop.,1251.54
2002,Edulcorante,Valor (miles de euros),Economato/Coop.,0.0
2002,Legumbres,Valor (miles de euros),Economato/Coop.,1301.7
2002,Aceites,Valor (miles de euros),Economato/Coop.,29751.35
2002,Margarinas,Valor (miles de euros),Economato/Coop.,603.88
2002,Aceitunas,Valor (miles de euros),Economato/Coop.,1124.41
2002,Vinos,Valor (miles de euros),Economato/Coop.,21431.6
2002,Cervezas,Valor (miles de euros),Economato/Coop.,1463.52
2002,Patatas,Valor (miles de euros),Economato/Coop.,2960.47
2002,Hortalizas frescas,Valor (miles de euros),Economato/Coop.,6341.96
2002,Frutas frescas,Valor (miles de euros),Economato/Coop.,11626.5
2002,Frutos secos,Valor (miles de euros),Economato/Coop.,2778.36
2002,Frutas y hortalizas transformadas,Valor (miles de euros),Economato/Coop.,3870.37
2002,Platos preparados,Valor (miles de euros),Economato/Coop.,3184.18
2002,Cafes e infusiones,Valor (miles de euros),Economato/Coop.,3540.72
2002,Caldos,Valor (miles de euros),Economato/Coop.,637.67
2002,Salsas,Valor (miles de euros),Economato/Coop.,684.6
2002,Gaseosas y bebidas refrescantes,Valor (miles de euros),Economato/Coop.,5053.69
2002,Otros productos en peso,Valor (miles de euros),Economato/Coop.,1612.6
2002,Otros productos en volumen,Valor (miles de euros),Economato/Coop.,335.19
2002,Miel,Volumen (miles de kg o litros),Economato/Coop.,279.69
2002,Carne,Volumen (miles de kg o litros),Economato/Coop.,10458.68
2002,Pescados y mariscos,Volumen (miles de kg o litros),Economato/Coop.,3580.0899999999992
2002,Leche líquida,Volumen (miles de kg o litros),Economato/Coop.,21255.98
2002,Otras leches,Volumen (miles de kg o litros),Economato/Coop.,125.33000000000001
2002,Derivados lacteos,Volumen (miles de kg o litros),Economato/Coop.,5572.049999999999
2002,Pan,Volumen (miles de kg o litros),Economato/Coop.,10737.59
2002,"Bolleria, pastelería, galletas y cereales",Volumen (miles de kg o litros),Economato/Coop.,2145.9700000000003
2002,Productos navideños,Volumen (miles de kg o litros),Economato/Coop.,257.58000000000004
2002,Chocolates,Volumen (miles de kg o litros),Economato/Coop.,670.5600000000001
2002,Arroz,Volumen (miles de kg o litros),Economato/Coop.,1260.5699999999997
2002,Pastas,Volumen (miles de kg o litros),Economato/Coop.,888.3000000000001
2002,Azucar,Volumen (miles de kg o litros),Economato/Coop.,1346.2599999999998
2002,Edulcorante,Volumen (miles de kg o litros),Economato/Coop.,0.0
2002,Legumbres,Volumen (miles de kg o litros),Economato/Coop.,938.6300000000001
2002,Aceites,Volumen (miles de kg o litros),Economato/Coop.,12563.27
2002,Margarinas,Volumen (miles de kg o litros),Economato/Coop.,215.25
2002,Aceitunas,Volumen (miles de kg o litros),Economato/Coop.,542.1899999999999
