AÑO,CATEGORIAS,ANALISIS,COMUNIDAD AUTONOMA,CANTIDAD
2000,Otros productos en volumen,Gasto x cápita (miles de euros),CATALUÑA,2.0802163906046323
2000,Miel,Consumo x cápita (miles de kg o litros),ARAGON,0.43307256841317354
2000,Carne,Consumo x cápita (miles de kg o litros),ARAGON,61.72860890557362
2000,Pescados y mariscos,Consumo x cápita (miles de kg o litros),ARAGON,25.773118055755244
2000,Leche líquida,Consumo x cápita (miles de kg o litros),ARAGON,102.48574567102538
2000,Otras leches,Consumo x cápita (miles de kg o litros),ARAGON,0.35076073642901784
2000,Derivados lacteos,Consumo x cápita (miles de kg o litros),ARAGON,21.70953672297533
2000,Pan,Consumo x cápita (miles de kg o litros),ARAGON,46.17309438908877
2000,"Bolleria, pastelería, galletas y cereales",Consumo x cápita (miles de kg o litros),ARAGON,10.3781104398852
2000,Productos navideños,Consumo x cápita (miles de kg o litros),ARAGON,0.8937829143303752
2000,Chocolates,Consumo x cápita (miles de kg o litros),ARAGON,2.8593694641723846
2000,Arroz,Consumo x cápita (miles de kg o litros),ARAGON,3.875171057025347
2000,Pastas,Consumo x cápita (miles de kg o litros),ARAGON,3.216293628088875
2000,Azucar,Consumo x cápita (miles de kg o litros),ARAGON,5.224203942350561
2000,Edulcorante,Consumo x cápita (miles de kg o litros),ARAGON,0.053674157498636604
2000,Legumbres,Consumo x cápita (miles de kg o litros),ARAGON,3.7894767610334914
2000,Aceites,Consumo x cápita (miles de kg o litros),ARAGON,15.767422371304482
2000,Margarinas,Consumo x cápita (miles de kg o litros),ARAGON,0.6263807770380115
2000,Aceitunas,Consumo x cápita (miles de kg o litros),ARAGON,2.5602987146693565
2000,Vinos,Consumo x cápita (miles de kg o litros),ARAGON,12.313989113003686
2000,Cervezas,Consumo x cápita (miles de kg o litros),ARAGON,8.104071294643514
2000,Patatas,Consumo x cápita (miles de kg o litros),ARAGON,34.96745983328731
2000,Hortalizas frescas,Consumo x cápita (miles de kg o litros),ARAGON,57.57416193460072
2000,Frutas frescas,Consumo x cápita (miles de kg o litros),ARAGON,77.65306197314322
2000,Frutos secos,Consumo x cápita (miles de kg o litros),ARAGON,1.88164988526293
2000,Frutas y hortalizas transformadas,Consumo x cápita (miles de kg o litros),ARAGON,11.364696292810216
2000,Platos preparados,Consumo x cápita (miles de kg o litros),ARAGON,6.396036334487148
2000,Cafes e infusiones,Consumo x cápita (miles de kg o litros),ARAGON,1.574103446502732
2000,Caldos,Consumo x cápita (miles de kg o litros),ARAGON,0.2733312139247992
2000,Salsas,Consumo x cápita (miles de kg o litros),ARAGON,1.5392554743587326
2000,Gaseosas y bebidas refrescantes,Consumo x cápita (miles de kg o litros),ARAGON,34.39728420298234
2000,Otros productos en peso,Consumo x cápita (miles de kg o litros),ARAGON,4.983478744056574
2000,Otros productos en volumen,Consumo x cápita (miles de kg o litros),ARAGON,1.21167984918804
2000,Miel,Gasto x cápita (miles de euros),ARAGON,1.3920284555293334
2000,Carne,Gasto x cápita (miles de euros),ARAGON,287.29064288457886
2000,Pescados y mariscos,Gasto x cápita (miles de euros),ARAGON,147.44186388160225
2000,Leche líquida,Gasto x cápita (miles de euros),ARAGON,53.21470483564144
2000,Otras leches,Gasto x cápita (miles de euros),ARAGON,1.6744837294102386
2000,Derivados lacteos,Gasto x cápita (miles de euros),ARAGON,61.01338571939112
2000,Pan,Gasto x cápita (miles de euros),ARAGON,81.55062134851975
2000,"Bolleria, pastelería, galletas y cereales",Gasto x cápita (miles de euros),ARAGON,36.264591815917
2000,Productos navideños,Gasto x cápita (miles de euros),ARAGON,5.327919819094762
2000,Chocolates,Gasto x cápita (miles de euros),ARAGON,12.302677778400566
2000,Arroz,Gasto x cápita (miles de euros),ARAGON,4.500575372167372
2000,Pastas,Gasto x cápita (miles de euros),ARAGON,3.720280765236239
2000,Azucar,Gasto x cápita (miles de euros),ARAGON,4.845649194514159
2000,Edulcorante,Gasto x cápita (miles de euros),ARAGON,0.5898454787377461
2000,Legumbres,Gasto x cápita (miles de euros),ARAGON,3.912229738901862
2000,Aceites,Gasto x cápita (miles de euros),ARAGON,28.619699774937782
2000,Margarinas,Gasto x cápita (miles de euros),ARAGON,1.4224940666841406
2000,Aceitunas,Gasto x cápita (miles de euros),ARAGON,4.552132560275508
2000,Vinos,Gasto x cápita (miles de euros),ARAGON,16.992108692947074
2000,Cervezas,Gasto x cápita (miles de euros),ARAGON,7.703143851846248
2000,Patatas,Gasto x cápita (miles de euros),ARAGON,16.56175459445233
2000,Hortalizas frescas,Gasto x cápita (miles de euros),ARAGON,63.698429394196644
2000,Frutas frescas,Gasto x cápita (miles de euros),ARAGON,68.36149583755149
