AÑO,CATEGORIAS,CONDICIONES SOCIOECONÓMICAS,CANTIDAD,ANALISIS
2004,Frutas y hortalizas transformadas,< 2000 Habit.,72.14083333333333,Población del municipio
2004,Platos preparados,< 2000 Habit.,55.15583333333334,Población del municipio
2004,Cafes e infusiones,< 2000 Habit.,51.68999999999999,Población del municipio
2004,Caldos,< 2000 Habit.,19.01,Población del municipio
2004,Salsas,< 2000 Habit.,35.39666666666666,Población del municipio
2004,Gaseosas y bebidas refrescantes,< 2000 Habit.,61.63416666666666,Población del municipio
2004,Otros productos en peso,< 2000 Habit.,63.57999999999999,Población del municipio
2004,Otros productos en volumen,< 2000 Habit.,5.796666666666667,Población del municipio
2005,Miel,< 2000 Habit.,4.841666666666667,Población del municipio
2005,Carne,< 2000 Habit.,95.46166666666664,Población del municipio
2005,Pescados y mariscos,< 2000 Habit.,93.78416666666665,Población del municipio
2005,Leche líquida,< 2000 Habit.,87.6875,Población del municipio
2005,Otras leches,< 2000 Habit.,10.68,Población del municipio
2005,Derivados lacteos,< 2000 Habit.,96.01083333333332,Población del municipio
2005,Pan,< 2000 Habit.,95.08083333333333,Población del municipio
2005,"Bolleria, pastelería, galletas y cereales",< 2000 Habit.,88.92083333333335,Población del municipio
2005,Productos navideños,< 2000 Habit.,10.582500000000001,Población del municipio
2005,Chocolates,< 2000 Habit.,55.824999999999996,Población del municipio
2005,Arroz,< 2000 Habit.,42.964999999999996,Población del municipio
2005,Pastas,< 2000 Habit.,53.34666666666667,Población del municipio
2005,Azucar,< 2000 Habit.,43.42583333333334,Población del municipio
2005,Edulcorante,< 2000 Habit.,6.319999999999999,Población del municipio
2005,Legumbres,< 2000 Habit.,38.31083333333333,Población del municipio
2005,Aceites,< 2000 Habit.,46.85750000000001,Población del municipio
2005,Margarinas,< 2000 Habit.,24.639166666666664,Población del municipio
2005,Aceitunas,< 2000 Habit.,37.880833333333335,Población del municipio
2005,Vinos,< 2000 Habit.,29.82416666666667,Población del municipio
2005,Cervezas,< 2000 Habit.,34.64,Población del municipio
2005,Vinagres,< 2000 Habit.,19.313333333333336,Población del municipio
2005,Patatas,< 2000 Habit.,55.19833333333332,Población del municipio
2005,Hortalizas frescas,< 2000 Habit.,86.76416666666665,Población del municipio
2005,Frutas frescas,< 2000 Habit.,89.97833333333331,Población del municipio
2005,Frutos secos,< 2000 Habit.,41.619166666666665,Población del municipio
2005,Frutas y hortalizas transformadas,< 2000 Habit.,76.11666666666666,Población del municipio
2005,Platos preparados,< 2000 Habit.,58.540833333333325,Población del municipio
2005,Cafes e infusiones,< 2000 Habit.,54.7525,Población del municipio
2005,Caldos,< 2000 Habit.,19.75,Población del municipio
