AÑO,CATEGORIAS,COMUNIDAD AUTONOMA,CANTIDAD
2000,OTROS PROD.EN PESO,ESPAÑA,216975.32
2000,OTROS PROD.EN VOLUMEN,ESPAÑA,47599.520000000004
2001,T.HUEVOS KGS,ESPAÑA,417681.49000000005
2001,OTRAS AVES,ESPAÑA,54912.0
2001,MIEL,ESPAÑA,19791.67
2001,CARNE VACUNO,ESPAÑA,249571.57
2001,CARNE POLLO,ESPAÑA,596410.88
2001,CARNE CONEJO,ESPAÑA,58189.42
2001,CARNE OVINO/CAPRINO,ESPAÑA,119381.6
2001,CARNE CERDO,ESPAÑA,466432.10000000003
2001,CARNE DESPOJOS,ESPAÑA,37425.840000000004
2001,OTRAS CARNES FRESCA,ESPAÑA,104751.32
2001,CARNE CONGELADA,ESPAÑA,28777.770000000004
2001,CARNE TRANSFORMADA,ESPAÑA,501659.58
2001,TOCINO Y MANTECA,ESPAÑA,6786.790000000001
2001,PESCADOS FRESCOS,ESPAÑA,541348.27
2001,PESCADOS CONGELADOS,ESPAÑA,114903.67000000001
2001,MARISCO/MOLUSCO/CRUS,ESPAÑA,276241.54000000004
2001,CONS.PESCADO/MOLUSCO,ESPAÑA,148357.87
2001,LECHE ENTERA,ESPAÑA,1826657.51
2001,LECHE DESNATADA,ESPAÑA,825519.1599999999
2001,LECHE SEMIDESNATAD,ESPAÑA,1137361.25
2001,TOTAL OTRAS LECHES,ESPAÑA,24133.769999999997
2001,PREPARADOS LACTEOS,ESPAÑA,61178.31
2001,BATIDOS DE LECHE,ESPAÑA,67568.02
2001,BATIDOS DE YOGURT,ESPAÑA,23245.32
2001,MANTEQUILLA,ESPAÑA,5690.839999999999
2001,QUESO,ESPAÑA,243168.08000000005
2001,HELADOS Y TARTAS,ESPAÑA,82434.74
2001,NATA,ESPAÑA,40439.090000000004
2001,CUAJADAS,ESPAÑA,14131.650000000001
2001,OT.DERIVADOS LACTEOS,ESPAÑA,131837.67
2001,PAN,ESPAÑA,2034259.5
2001,BOLL./PAST.ENVASADA,ESPAÑA,143003.34
2001,GALLETAS ENVASADAS,ESPAÑA,156380.32
